source_id,type_of_water_source,number_of_people_served,priority_rank
SoRu34798224,river,998,1
SoRu36238224,river,998,1
SoRu38142224,river,998,1
SoRu36880224,river,998,1
SoRu36791224,river,998,1
SoRu37756224,river,998,1
SoRu35837224,river,998,1
SoMa33775224,river,998,1
KiRu28591224,river,998,1
SoIl32972224,river,998,1
KiRu30353224,river,998,1
KiZu31236224,river,998,1
KiMr25030224,river,998,1
KiRu26027224,river,996,14
KiRu30532224,river,996,14
KiRu25603224,river,996,14
AmAb09070224,river,996,14
AkRu08053224,river,996,14
SoRu36229224,river,996,14
SoRu37912224,river,994,20
SoRu36506224,river,994,20
HaRu20469224,river,994,20
KiRu28404224,river,994,20
KiRu27661224,river,994,20
SoKo33179224,river,994,20
SoMa33620224,river,992,26
KiRu29844224,river,992,26
KiRu28002224,river,992,26
KiRu27266224,river,992,26
SoRu38498224,river,992,26
SoRu36076224,river,992,26
SoRu39029224,river,992,26
SoRu35192224,river,992,26
SoRu37032224,river,992,26
AmRu13795224,river,992,26
AkRu04142224,river,992,26
HaRu17065224,river,990,37
AkRu08333224,river,990,37
SoIl32652224,river,990,37
KiRu25651224,river,990,37
SoRu37158224,river,990,37
SoRu37904224,river,990,37
SoRu37004224,river,990,37
SoRu36894224,river,988,44
SoRu37223224,river,988,44
AkRu05337224,river,988,44
AmAs10139224,river,988,44
AkRu06935224,river,988,44
AmDa11775224,river,988,44
SoKo33302224,river,988,44
KiAm22552224,river,988,44
KiRu28398224,river,988,44
SoCh32068224,river,988,44
KiRu28604224,river,988,44
HaRu20007224,river,988,44
SoKo33275224,river,988,44
SoMa34112224,river,988,44
SoBa31788224,river,986,58
SoMa33961224,river,986,58
KiZu30757224,river,986,58
SoBa31824224,river,986,58
KiHa23332224,river,986,58
HaRu19708224,river,986,58
KiMr24403224,river,986,58
SoRu35151224,river,986,58
SoRu35464224,river,986,58
SoRu36044224,river,986,58
SoRu37968224,river,986,58
SoRu36871224,river,986,58
AkRu03607224,river,986,58
AmRu13767224,river,984,71
AmAm09565224,river,984,71
KiMr24365224,river,984,71
SoKo33516224,river,984,71
HaRu20269224,river,984,71
SoKo33278224,river,984,71
SoRu38884224,river,984,71
SoRu39120224,river,984,71
SoRu37388224,river,984,71
SoRu35074224,river,984,71
SoRu38054224,river,984,71
SoRu39564224,river,984,71
SoRu39206224,river,982,83
SoRu36065224,river,982,83
SoRu38692224,river,982,83
SoRu38006224,river,982,83
SoRu36666224,river,982,83
SoRu37046224,river,982,83
AkRu07053224,river,982,83
AmRu13651224,river,982,83
AmBe11055224,river,982,83
AmDa11856224,river,982,83
HaYa21524224,river,982,83
SoBa31517224,river,982,83
HaRu19782224,river,982,83
SoBa31654224,river,980,96
KiAm22020224,river,980,96
SoRu36036224,river,980,96
SoRu34875224,river,980,96
AkRu06243224,river,980,96
AkRu08369224,river,980,96
AkRu06666224,river,980,96
AmRu13667224,river,980,96
AkLu02389224,river,978,104
AkRu07584224,river,978,104
AmRu13901224,river,978,104
SoCh32266224,river,978,104
SoKo33083224,river,978,104
HaSe21297224,river,978,104
SoRu37536224,river,978,104
SoRu37881224,river,978,104
SoRu37761224,river,978,104
SoRu36311224,river,978,104
SoRu38330224,river,976,114
SoRu34768224,river,976,114
SoRu38656224,river,976,114
SoRu35432224,river,976,114
SoRu35138224,river,976,114
